image,manual,sistema,error,abs_error,accuracy,rango_contable
M1-B,2,2,0,0,1.0,True
M1-C,1,3,2,2,0.3333333333333333,True
M1-D,21,8,-13,13,0.38095238095238093,True
M2-A-3,0,11,11,11,0.0,True
M2-A,3,9,6,6,0.3333333333333333,True
M2-B,0,0,0,0,1.0,True
M2-C,2,6,4,4,0.3333333333333333,True
MC73-A,13,16,3,3,0.8125,True
MC73-B,18,15,-3,3,0.8333333333333334,True
MC73-C,5,4,-1,1,0.8,True
MC73-D,9,12,3,3,0.75,True
RC73-A-2.5,352,275,-77,77,0.78125,False
RC73-A-3.1,87,82,-5,5,0.9425287356321839,True
RC73-B-2.5,276,236,-40,40,0.855072463768116,False
RC73-B-3.1,67,65,-2,2,0.9701492537313433,True
